date,username,campaign,action
12/16/17,hzlhillary,General,liked
12/16/17,manisha_seetharam_r,General,liked
12/16/17,hotties1212,General,liked
12/16/17,lani.e.mese,General,liked
12/16/17,doriskun85,General,liked
12/16/17,svetlanakroitoru,General,liked
12/16/17,martemide,General,liked
12/16/17,nari.cho,General,liked
12/16/17,thefaithwall,General,liked
12/16/17,becshollander84,General,liked
12/16/17,saurclaudia,General,liked
12/16/17,bokcan82,General,liked
12/18/17,babycooluruguay,General,liked
12/18/17,babycooluruguay,General,followed
12/18/17,melinteriordesign,General,liked
12/18/17,melinteriordesign,General,followed
12/18/17,funimalsstore,General,liked
12/18/17,pamelafitfashionable6,General,liked
12/18/17,xchrxssx,General,liked
12/18/17,xchrxssx,General,followed
12/18/17,muhamad_ali_official,General,liked
12/18/17,tinytotsstore,General,liked
12/18/17,tinytotsstore,General,commented
12/18/17,tinytotsstore,General,followed
12/18/17,minichouboutique,General,liked
12/18/17,minichouboutique,General,followed
12/19/17,cozy.home.by.c,General,liked
12/19/17,cozy.home.by.c,General,commented
12/19/17,cozy.home.by.c,General,followed
12/19/17,tiffany.houck,General,liked
12/19/17,payettefamily,General,liked
12/19/17,naesta23_,General,liked
12/19/17,naesta23_,General,followed
12/19/17,hj_cho0818,General,liked
12/19/17,hj_cho0818,General,followed
12/19/17,photosbymarietta,General,liked
12/19/17,joaogpz,General,liked
12/19/17,joaogpz,General,followed
12/19/17,summmerxwilliams,General,liked
12/19/17,summmerxwilliams,General,followed
12/19/17,essentialfrequency,General,liked
12/19/17,essentialfrequency,General,followed
12/19/17,aina_o_s,General,liked
12/19/17,victoria_ashlynn_,General,liked
12/19/17,martinasol5,General,liked
12/19/17,martinasol5,General,followed
12/19/17,wiles.leept77,General,liked
12/19/17,wiles.leept77,General,commented
12/19/17,wiles.leept77,General,followed
12/19/17,wiles.leept77,General,liked
12/19/17,wiles.leept77,General,liked
12/19/17,iselasbbows,General,liked
12/19/17,iselasbbows,General,commented
12/19/17,loja_colo,General,liked
12/19/17,loja_colo,General,followed
12/19/17,b_rochelle,General,liked
12/19/17,cutiepatootiear,General,liked
12/19/17,cutiepatootiear,General,followed
12/19/17,sarv_studio_photography,General,liked
12/19/17,annelea_brunet,General,liked
12/19/17,annelea_brunet,General,followed
12/19/17,gokhanbildik0,General,liked
12/19/17,stacytheredhead,General,liked
12/19/17,addie.rae11,General,liked
12/19/17,pipietmaria,General,liked
12/19/17,jucapapho1970fgr,General,liked
12/19/17,jucapapho1970fgr,General,followed
12/19/17,artedaterrapr,General,liked
12/19/17,artedaterrapr,General,followed
12/19/17,messoriphotography,General,liked
12/19/17,messoriphotography,General,followed
12/19/17,sparachiodi,General,liked
12/19/17,sparachiodi,General,followed
12/19/17,curiosityforlife,General,liked
12/19/17,curiosityforlife,General,followed
12/19/17,azeneth.acuna1,General,liked
12/19/17,kitamargstew,General,liked
12/19/17,grace_n_glamur,General,liked
12/19/17,grace_n_glamur,General,followed
12/19/17,agrochowska,General,liked
12/19/17,grace_n_glamur,General,liked
12/19/17,_andzelika_kaliciak_,General,liked
12/19/17,_tattoos_by_bob_,General,liked
12/19/17,_tattoos_by_bob_,General,followed
12/19/17,fitforislandlife,General,liked
12/19/17,grace_n_glamur,General,liked
12/19/17,kitamargstew,General,liked
12/19/17,kitamargstew,General,followed
12/19/17,eyesinheim,General,liked
12/19/17,grace_n_glamur,General,liked
12/19/17,princess.gea.teuta,General,liked
12/19/17,princess.gea.teuta,General,followed
12/19/17,grace_n_glamur,General,liked
12/19/17,italianaa95,General,liked
12/19/17,grace_n_glamur,General,liked
12/19/17,grace_n_glamur,General,liked
12/19/17,momof3inaz,General,liked
12/19/17,momof3inaz,General,followed
12/19/17,yuvicelazv,General,liked
12/19/17,yuvicelazv,General,followed
12/19/17,annlaur_tsch,General,liked
12/19/17,annlaur_tsch,General,followed
12/19/17,bonaeblink,General,liked
12/19/17,bonaeblink,General,followed
12/19/17,grace_n_glamur,General,liked
12/19/17,giuliasszon,General,liked
12/19/17,808mai,General,liked
12/19/17,misfit6six,General,liked
12/19/17,giuliasszon,General,liked
12/19/17,giuliasszon,General,followed
12/19/17,i_prefer_my_puns_intended_,General,liked
12/19/17,josieb_love3,General,liked
12/19/17,josieb_love3,General,followed
12/19/17,melissafouberg,General,liked
12/19/17,melissafouberg,General,followed
12/19/17,ladyempire2013,General,liked
12/19/17,ladyempire2013,General,followed
12/19/17,hmadebythecottrells,General,liked
12/19/17,hmadebythecottrells,General,followed
12/19/17,nikistix1,General,liked
12/19/17,ash_leiy,General,liked
12/19/17,ash_leiy,General,followed
12/19/17,jamis_08,General,liked
12/20/17,sweetdevil0415,General,liked
12/20/17,sweetdevil0415,General,followed
12/20/17,merrycha09,General,liked
12/20/17,merrycha09,General,followed
12/20/17,lorithurrott,General,liked
12/20/17,hellensone,General,liked
12/20/17,nkd0828,General,liked
12/20/17,nkd0828,General,commented
12/20/17,estherfkim,General,liked
12/20/17,widdinatalia,General,liked
